symbol,name,sector,industry,market_cap_usd
SATA,Strive Inc. Variable Rate Series A Perpetual Preferred Stock,,,7308993926.0
STAG,Stag Industrial Inc. Common Stock,Real Estate,Real Estate Investment Trusts,7294472848.0
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,7259235237.0
TTEK,Tetra Tech Inc. Common Stock,Consumer Discretionary,Military/Government/Technical,7175857927.0
SLAB,Silicon Laboratories Inc. Common Stock,Technology,Semiconductors,7173546503.0
MOS,Mosaic Company (The) Common Stock,Industrials,Agricultural Chemicals,7154727956.0
KNSL,Kinsale Capital Group Inc. Common Stock,Finance,Property-Casualty Insurers,7153855826.0
LTH,Life Time Group Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,7138869808.0
PLXS,Plexus Corp. Common Stock,Technology,Electrical Products,7109716188.0
BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,7081293161.0
PCOR,Procore Technologies Inc. Common Stock,Technology,Computer Software: Prepackaged Software,7069206620.0
RHP,Ryman Hospitality Properties Inc. (REIT),Real Estate,Real Estate Investment Trusts,7065714093.0
GKOS,Glaukos Corporation Common Stock,Health Care,Medical/Dental Instruments,7061578120.0
HR,Healthcare Realty Trust Incorporated Common Stock,Real Estate,Real Estate Investment Trusts,7055179328.0
AVT,Avnet Inc. Common Stock,Technology,Electronic Components,7046688799.0
MTDR,Matador Resources Company Common Stock,Energy,Oil & Gas Production,7033454777.0
TRNO,Terreno Realty Corporation Common Stock,Finance,Real Estate,7021591154.0
IMVT,Immunovant Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),7011299516.0
VAL,Valaris Limited Common Shares,Energy,Oil & Gas Production,7006202583.0
LEA,Lear Corporation Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,7003294840.0
PB,Prosperity Bancshares Inc. Common Stock,Finance,Major Banks,6968050463.0
MYRG,MYR Group Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,6958695988.0
FAF,First American Corporation (New) Common Stock,Finance,Specialty Insurers,6949580000.0
LKQ,LKQ Corporation Common Stock,Consumer Discretionary,Motor Vehicles,6917571170.0
RAL,Ralliant Corporation Common Stock,Industrials,Industrial Machinery/Components,6889485259.0
LNC,Lincoln National Corporation Common Stock,Finance,Life Insurance,6889411488.0
JBTM,JBT Marel Corporation Common Stock,Industrials,Industrial Machinery/Components,6874513218.0
FSS,Federal Signal Corporation Common Stock,Industrials,Auto Manufacturing,6869464048.0
NVTS,Navitas Semiconductor Corporation Common Stock,Technology,Semiconductors,6836110106.0
MORN,Morningstar Inc. Common Stock,Finance,Investment Managers,6831353154.0
PCVX,Vaxcyte Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6830010359.0
THG,Hanover Insurance Group Inc,Finance,Property-Casualty Insurers,6826971747.0
OSCR,Oscar Health Inc. Class A Common Stock,Health Care,Medical Specialities,6825801520.0
CBC,Central Bancompany Inc. Class A Common Stock,,,6821404209.0
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Utilities,Power Generation,6803895029.0
NEU,NewMarket Corp Common Stock,Industrials,Major Chemicals,6785562577.0
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,Utilities,Power Generation,6782941546.0
CHYM,Chime Financial Inc. Class A Common Stock,Finance,Finance: Consumer Services,6782140674.0
EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,6774985770.0
PPC,Pilgrim's Pride Corporation Common Stock,Consumer Staples,Meat/Poultry/Fish,6771258441.0
IDCC,InterDigital Inc. Common Stock,Miscellaneous,Multi-Sector Companies,6745035668.0
CELC,Celcuity Inc. Common Stock,Health Care,Medical Specialities,6740963990.0
POOL,Pool Corporation Common Stock,Consumer Discretionary,Industrial Specialties,6728836074.0
AWI,Armstrong World Industries Inc Common Stock,Industrials,Plastic Products,6708014413.0
LNTH,Lantheus Holdings Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,6705926446.0
MIDD,Middleby Corporation (The) Common Stock,Industrials,Industrial Machinery/Components,6695814713.0
MSA,MSA Safety Incorporated Common Stock,Health Care,Industrial Specialties,6599369015.0
TEX,Terex Corporation Common Stock,Industrials,Construction/Ag Equipment/Trucks,6596192000.0
TXNM,TXNM Energy Inc. Common Stock,Utilities,Electric Utilities: Central,6583760574.0
LSTR,Landstar System Inc. Common Stock,Industrials,Trucking Freight/Courier Services,6582412022.0
PAYC,Paycom Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software,6563613810.0
VFC,V.F. Corporation Common Stock,Industrials,Garments and Clothing,6542554074.0
KGS,Kodiak Gas Services Inc. Common Stock,Utilities,Natural Gas Distribution,6541264589.0
AROC,Archrock Inc. Common Stock,Utilities,Natural Gas Distribution,6528494451.0
NPO,Enpro Inc. Common Stock,Industrials,Metal Fabrications,6512294178.0
SWX,Southwest Gas Holdings Inc. Common Stock (DE),Utilities,Oil & Gas Production,6507224831.0
HXL,Hexcel Corporation Common Stock,Industrials,Major Chemicals,6501068989.0
RGEN,Repligen Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6490274564.0
KYMR,Kymera Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6489301117.0
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods,6487607835.0
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,Utilities,Power Generation,6480612731.0
CORT,Corcept Therapeutics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6464712991.0
INGR,Ingredion Incorporated Common Stock,Consumer Staples,Packaged Foods,6457878437.0
URBN,Urban Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,6455808934.0
CENX,Century Aluminum Company Common Stock,Industrials,Aluminum,6438261757.0
VSH,Vishay Intertechnology Inc. Common Stock,Technology,Electrical Products,6431000326.0
SYRE,Spyre Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,6430594785.0
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,Real Estate,Real Estate Investment Trusts,6410242775.0
