symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
AA,lithium,Bull-Bear,0.3597,0.4629,-0.1032,-0.6466,2023,531
AA,semiconductors,VIX,0.2985,0.4137,-0.1153,-0.5283,377,1284
AA,semiconductors,Rates,0.3325,0.7605,-0.4280,-1.0765,162,147
AA,semiconductors,Bull-Bear,0.5660,0.4403,0.1257,0.7459,2023,531
AA,uranium,VIX,0.1780,0.1232,0.0548,0.3691,377,1284
AA,uranium,Rates,0.3945,-0.0464,0.4408,1.8911,162,147
AA,uranium,Bull-Bear,0.2135,0.2554,-0.0418,-0.3499,2023,531
AA,xl_consumer_defensive,VIX,-0.8494,-0.6617,-0.1877,-0.5740,377,1284
AA,xl_consumer_defensive,Rates,-0.7067,-0.8276,0.1209,0.1885,162,147
AA,xl_consumer_defensive,Bull-Bear,-1.1592,-0.8319,-0.3273,-1.2139,2023,531
AA,xl_financials,VIX,0.8326,-0.3864,1.2190,2.7656,377,1284
AA,xl_financials,Rates,1.0315,-0.5464,1.5779,1.8189,162,147
AA,xl_financials,Bull-Bear,0.3597,-0.3274,0.6871,1.8528,2023,531
AA,xl_healthcare,VIX,-1.7150,-0.3572,-1.3578,-3.7130,377,1284
AA,xl_healthcare,Rates,-1.4406,-1.5073,0.0667,0.0962,162,147
AA,xl_healthcare,Bull-Bear,-1.0027,-1.0290,0.0263,0.0911,2023,531
AA,xl_industrials,VIX,1.1021,0.4111,0.6910,1.4399,377,1284
AA,xl_industrials,Rates,-0.1989,-0.2983,0.0994,0.0923,162,147
AA,xl_industrials,Bull-Bear,0.8232,0.6519,0.1713,0.4358,2023,531
AA,xl_real_estate,VIX,-0.1800,-0.3583,0.1783,0.6333,361,929
AA,xl_real_estate,Rates,-0.9148,0.8132,-1.7280,-3.4461,139,128
AA,xl_real_estate,Bull-Bear,-0.6387,-0.2304,-0.4083,-1.7705,1713,483
AA,xl_utilities,VIX,-0.4145,-0.5187,0.1042,0.4422,377,1284
AA,xl_utilities,Rates,-0.6286,0.4367,-1.0654,-2.5132,162,147
AA,xl_utilities,Bull-Bear,-0.8040,-0.3303,-0.4738,-2.4157,2023,531
AA,china_a_shares,VIX,-0.2302,-0.0484,-0.1819,-0.8667,361,929
AA,china_a_shares,Rates,0.2938,0.1886,0.1052,0.2440,139,128
AA,china_a_shares,Bull-Bear,-0.0146,0.1377,-0.1523,-0.9850,1713,483
AA,china_exposure,VIX,-0.0075,0.1392,-0.1467,-0.8087,361,929
AA,china_exposure,Rates,-0.1431,0.0765,-0.2196,-0.6192,139,128
AA,china_exposure,Bull-Bear,0.0438,0.2025,-0.1587,-1.0727,1713,483
AAL,market_beta,VIX,1.6383,1.4821,0.1562,1.1967,866,1808
AAL,market_beta,Rates,1.6059,1.2457,0.3602,1.7667,257,260
AAL,market_beta,Bull-Bear,1.5499,1.6598,-0.1099,-1.1105,3099,1098
AAL,copper,VIX,-0.0364,-0.0017,-0.0346,-0.2026,401,1429
AAL,copper,Rates,-0.0139,-0.0004,-0.0135,-0.0608,172,156
AAL,copper,Bull-Bear,0.0443,-0.1150,0.1593,1.3505,2330,587
AAL,credit_hy_spread,VIX,0.3719,-0.4880,0.8598,3.1197,866,1482
AAL,credit_hy_spread,Rates,-0.3913,1.4140,-1.8053,-2.9551,254,250
AAL,credit_hy_spread,Bull-Bear,0.0365,0.1341,-0.0976,-0.4101,2877,1033
AAL,energy_oil,VIX,-0.2329,-0.2267,-0.0062,-0.0836,826,1408
AAL,energy_oil,Rates,-0.1577,-0.3218,0.1641,0.9321,247,247
AAL,energy_oil,Bull-Bear,-0.2236,-0.3712,0.1476,2.2038,2757,1010
AAL,gold,VIX,-0.6167,-0.1746,-0.4421,-2.8386,866,1808
AAL,gold,Rates,-1.0466,-0.5228,-0.5237,-1.6528,257,260
AAL,gold,Bull-Bear,-0.1182,-0.8141,0.6959,5.1863,3099,1098
AAL,inflation,VIX,-0.5194,-1.4639,0.9445,1.6449,866,1808
AAL,inflation,Rates,-2.2701,-0.1114,-2.1587,-2.0524,257,260
AAL,inflation,Bull-Bear,-0.5917,-1.2122,0.6205,1.2518,3099,1098
AAL,natural_gas,VIX,-0.0319,-0.0338,0.0019,0.0280,866,1477
AAL,natural_gas,Rates,-0.0282,0.0242,-0.0524,-0.3843,254,250
AAL,natural_gas,Bull-Bear,-0.0356,-0.1257,0.0901,1.5560,2874,1033
AAL,rates,VIX,0.1327,0.2179,-0.0852,-0.1974,866,1808
AAL,rates,Rates,3.8058,2.0035,1.8024,1.1688,257,260
AAL,rates,Bull-Bear,-0.0970,0.2018,-0.2987,-0.7895,3099,1098
AAL,rates_30y,VIX,0.0093,0.1573,-0.1480,-0.7468,866,1808
AAL,rates_30y,Rates,1.2403,0.7762,0.4641,0.8046,257,260
AAL,rates_30y,Bull-Bear,-0.0657,0.1927,-0.2584,-1.4701,3099,1098
AAL,usd_strength,VIX,-0.0228,0.0764,-0.0992,-0.2893,866,1501
