symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
DT,biotech,VIX,0.1390,-0.1171,0.2561,1.1122,332,337
DT,biotech,Rates,-0.1053,0.1246,-0.2299,-0.5664,124,118
DT,biotech,Bull-Bear,0.1273,0.1642,-0.0369,-0.1808,1096,326
DT,defense,VIX,0.0837,0.0331,0.0506,0.2150,332,337
DT,defense,Rates,0.2540,-0.3189,0.5730,1.3133,124,118
DT,defense,Bull-Bear,0.0244,0.0532,-0.0288,-0.1348,1096,326
DT,growth,VIX,4.3578,1.0955,3.2623,2.9827,332,337
DT,growth,Rates,2.6371,5.8215,-3.1844,-2.1498,124,118
DT,growth,Bull-Bear,3.9267,5.5501,-1.6234,-1.8666,1096,326
DT,lithium,VIX,0.2527,0.0267,0.2260,1.5118,332,337
DT,lithium,Rates,-0.0719,0.2999,-0.3718,-1.3842,124,118
DT,lithium,Bull-Bear,0.1112,0.4901,-0.3789,-2.4206,1096,326
DT,semiconductors,VIX,-0.0620,-0.1328,0.0708,0.3433,332,337
DT,semiconductors,Rates,0.0258,0.4458,-0.4200,-1.2805,124,118
DT,semiconductors,Bull-Bear,0.0420,0.2139,-0.1719,-0.9185,1096,326
DT,uranium,VIX,0.1614,-0.0037,0.1651,1.1950,332,337
DT,uranium,Rates,0.2749,0.0311,0.2438,1.1656,124,118
DT,uranium,Bull-Bear,0.0427,0.3765,-0.3338,-2.7778,1096,326
DT,xl_consumer_defensive,VIX,-0.6137,-0.1531,-0.4607,-1.3802,332,337
DT,xl_consumer_defensive,Rates,-0.3508,-1.5686,1.2178,2.3849,124,118
DT,xl_consumer_defensive,Bull-Bear,-0.4142,-1.2525,0.8383,3.0599,1096,326
DT,xl_financials,VIX,-0.0158,-0.0832,0.0674,0.1490,332,337
DT,xl_financials,Rates,0.6685,0.5991,0.0693,0.0936,124,118
DT,xl_financials,Bull-Bear,-0.2359,0.5126,-0.7485,-1.8805,1096,326
DT,xl_healthcare,VIX,-0.3067,-0.3324,0.0257,0.0698,332,337
DT,xl_healthcare,Rates,-1.5887,-0.4632,-1.1255,-1.9576,124,118
DT,xl_healthcare,Bull-Bear,-0.3170,-1.0846,0.7676,2.4518,1096,326
DT,xl_industrials,VIX,-0.6034,0.6813,-1.2848,-2.6874,332,337
DT,xl_industrials,Rates,-0.8318,-1.8528,1.0209,1.2022,124,118
DT,xl_industrials,Bull-Bear,-0.1269,-0.8269,0.7000,1.6101,1096,326
DT,xl_real_estate,VIX,0.3349,0.0741,0.2608,0.9607,332,337
DT,xl_real_estate,Rates,-0.5060,0.8935,-1.3995,-3.6759,124,118
DT,xl_real_estate,Bull-Bear,0.1823,0.3044,-0.1221,-0.4988,1096,326
DT,xl_utilities,VIX,-0.0681,-0.3034,0.2354,0.9596,332,337
DT,xl_utilities,Rates,-0.3955,-0.1094,-0.2862,-0.7735,124,118
DT,xl_utilities,Bull-Bear,-0.2795,-0.3479,0.0684,0.3280,1096,326
DT,china_a_shares,VIX,-0.0638,0.0254,-0.0892,-0.4392,332,337
DT,china_a_shares,Rates,0.0621,0.0409,0.0213,0.0629,124,118
DT,china_a_shares,Bull-Bear,-0.0624,-0.0933,0.0309,0.1630,1096,326
DT,china_exposure,VIX,0.0517,0.0168,0.0349,0.2205,332,337
DT,china_exposure,Rates,-0.1274,0.2139,-0.3413,-1.2860,124,118
DT,china_exposure,Bull-Bear,-0.0526,0.1974,-0.2500,-1.8174,1096,326
DTB,market_beta,VIX,0.2519,0.3638,-0.1120,-0.9852,201,255
DTB,market_beta,Rates,0.3707,0.3328,0.0379,0.2879,115,106
DTB,market_beta,Bull-Bear,0.3009,0.3407,-0.0398,-0.6547,898,262
DTB,copper,VIX,-0.0425,0.0022,-0.0447,-0.6572,201,255
DTB,copper,Rates,-0.0862,-0.0391,-0.0471,-0.3602,115,106
DTB,copper,Bull-Bear,0.0088,0.0010,0.0078,0.1465,898,262
DTB,credit_hy_spread,VIX,-0.2989,-0.7166,0.4176,1.9594,201,255
DTB,credit_hy_spread,Rates,0.9961,0.3340,0.6621,1.2857,115,106
DTB,credit_hy_spread,Bull-Bear,-0.5951,-0.6579,0.0628,0.3788,898,262
DTB,energy_oil,VIX,-0.0036,-0.0300,0.0264,0.5541,201,255
DTB,energy_oil,Rates,0.0188,0.0375,-0.0187,-0.2372,115,106
DTB,energy_oil,Bull-Bear,-0.0120,-0.0334,0.0215,0.6333,898,262
DTB,gold,VIX,0.1097,0.1652,-0.0556,-0.5763,201,255
DTB,gold,Rates,-0.0301,0.0299,-0.0600,-0.3347,115,106
DTB,gold,Bull-Bear,0.0857,0.1746,-0.0889,-1.0888,898,262
DTB,inflation,VIX,-0.0925,-1.3405,1.2480,3.5703,201,255
DTB,inflation,Rates,-0.1343,-0.4948,0.3605,0.6084,115,106
DTB,inflation,Bull-Bear,-0.9360,-0.6493,-0.2867,-1.2137,898,262
DTB,natural_gas,VIX,-0.0101,-0.0158,0.0057,0.2272,201,255
DTB,natural_gas,Rates,-0.0103,0.0576,-0.0678,-1.4955,115,106
DTB,natural_gas,Bull-Bear,0.0039,-0.0105,0.0144,0.6573,898,262
DTB,rates,VIX,0.6221,0.7176,-0.0955,-0.5582,201,255
DTB,rates,Rates,1.5528,0.7329,0.8199,1.3179,115,106
DTB,rates,Bull-Bear,0.7825,1.0344,-0.2519,-1.9262,898,262
DTB,rates_30y,VIX,0.3036,0.3688,-0.0652,-0.7688,201,255
DTB,rates_30y,Rates,0.7117,0.6283,0.0835,0.3233,115,106
DTB,rates_30y,Bull-Bear,0.3864,0.4985,-0.1121,-1.7568,898,262
DTB,usd_strength,VIX,-0.1318,-0.2046,0.0728,0.4163,201,255
DTB,usd_strength,Rates,0.0403,-0.5259,0.5663,1.5796,115,106
DTB,usd_strength,Bull-Bear,-0.2859,-0.3836,0.0977,0.6080,898,262
DTB,volatility,VIX,-0.0056,0.0133,-0.0189,-0.8913,201,255
DTB,volatility,Rates,-0.0432,-0.0047,-0.0385,-1.2379,115,106
DTB,volatility,Bull-Bear,-0.0209,0.0032,-0.0240,-1.2280,898,262
DTB,momentum,VIX,0.0965,-0.2827,0.3792,2.3826,201,255
DTB,momentum,Rates,-0.0900,-0.3800,0.2900,1.0100,115,106
DTB,momentum,Bull-Bear,-0.1120,-0.0140,-0.0980,-0.6962,898,262
DTB,quality,VIX,0.3176,-0.4541,0.7718,1.8196,201,255
DTB,quality,Rates,-0.0428,0.2086,-0.2514,-0.3508,115,106
DTB,quality,Bull-Bear,-0.1209,0.7354,-0.8563,-2.5282,898,262
DTB,value,VIX,-0.1983,0.4920,-0.6903,-3.3010,201,255
DTB,value,Rates,-0.2234,0.2725,-0.4959,-1.1326,115,106
DTB,value,Bull-Bear,0.1111,-0.2050,0.3161,1.5787,898,262
DTB,biotech,VIX,-0.0768,0.1829,-0.2597,-2.6083,201,255
DTB,biotech,Rates,0.0834,-0.0859,0.1693,0.8701,115,106
DTB,biotech,Bull-Bear,0.0750,-0.0369,0.1119,1.3635,898,262
DTB,defense,VIX,0.0931,-0.1482,0.2413,2.0554,201,255
DTB,defense,Rates,-0.1476,-0.0214,-0.1261,-0.5278,115,106
DTB,defense,Bull-Bear,-0.0678,0.0914,-0.1592,-1.5491,898,262
DTB,growth,VIX,0.0673,0.4477,-0.3804,-0.7431,201,255
DTB,growth,Rates,0.7554,-0.1287,0.8841,1.0026,115,106
DTB,growth,Bull-Bear,0.6398,0.4234,0.2164,0.5527,898,262
DTB,lithium,VIX,-0.0083,0.0732,-0.0815,-1.3639,201,255
DTB,lithium,Rates,0.0742,0.0035,0.0707,0.5557,115,106
DTB,lithium,Bull-Bear,0.0164,0.0200,-0.0036,-0.0592,898,262
DTB,semiconductors,VIX,0.0023,0.0027,-0.0004,-0.0043,201,255
DTB,semiconductors,Rates,-0.0496,0.0781,-0.1277,-0.7454,115,106
DTB,semiconductors,Bull-Bear,-0.0009,0.1128,-0.1137,-1.4460,898,262
DTB,uranium,VIX,0.0687,0.0151,0.0536,1.0347,201,255
DTB,uranium,Rates,0.1315,-0.0347,0.1661,1.6524,115,106
DTB,uranium,Bull-Bear,0.0144,0.0708,-0.0564,-1.2182,898,262
DTB,xl_consumer_defensive,VIX,-0.1186,-0.1168,-0.0018,-0.0116,201,255
DTB,xl_consumer_defensive,Rates,-0.3087,-0.3519,0.0432,0.1503,115,106
DTB,xl_consumer_defensive,Bull-Bear,-0.0518,-0.2309,0.1791,1.4681,898,262
DTB,xl_financials,VIX,0.1406,-0.0402,0.1809,0.8517,201,255
DTB,xl_financials,Rates,-0.0801,0.6924,-0.7724,-2.0472,115,106
DTB,xl_financials,Bull-Bear,-0.0390,0.2933,-0.3323,-1.9273,898,262
DTB,xl_healthcare,VIX,-0.1742,-0.0090,-0.1652,-0.9829,201,255
DTB,xl_healthcare,Rates,-0.1822,-0.3866,0.2044,0.7160,115,106
DTB,xl_healthcare,Bull-Bear,-0.0013,-0.2964,0.2951,2.2830,898,262
DTB,xl_industrials,VIX,0.0231,0.0097,0.0134,0.0574,201,255
DTB,xl_industrials,Rates,-0.3868,-0.0384,-0.3483,-0.8209,115,106
DTB,xl_industrials,Bull-Bear,-0.0836,-0.0099,-0.0738,-0.3683,898,262
DTB,xl_real_estate,VIX,-0.0261,0.1330,-0.1591,-1.2087,201,255
DTB,xl_real_estate,Rates,0.0460,0.2678,-0.2218,-1.0899,115,106
DTB,xl_real_estate,Bull-Bear,0.1276,0.0682,0.0594,0.5500,898,262
DTB,xl_utilities,VIX,-0.0003,-0.1150,0.1147,0.9573,201,255
DTB,xl_utilities,Rates,0.1252,0.0143,0.1109,0.5219,115,106
DTB,xl_utilities,Bull-Bear,-0.0627,-0.0340,-0.0287,-0.3057,898,262
DTB,china_a_shares,VIX,-0.0609,-0.0643,0.0033,0.0383,201,255
DTB,china_a_shares,Rates,-0.0016,-0.1740,0.1724,1.0476,115,106
DTB,china_a_shares,Bull-Bear,-0.0587,-0.0460,-0.0127,-0.1686,898,262
DTB,china_exposure,VIX,0.0318,-0.0938,0.1256,2.0578,201,255
DTB,china_exposure,Rates,0.0646,-0.1499,0.2144,1.7588,115,106
DTB,china_exposure,Bull-Bear,-0.0474,0.0260,-0.0734,-1.4510,898,262
DTE,market_beta,VIX,0.7643,0.5096,0.2547,5.8051,866,1983
DTE,market_beta,Rates,0.8178,0.7521,0.0657,1.0047,264,264
DTE,market_beta,Bull-Bear,0.5495,0.7313,-0.1818,-5.8504,3147,1116
DTE,copper,VIX,0.0368,-0.0157,0.0525,0.6793,401,1429
DTE,copper,Rates,0.0019,-0.0312,0.0331,0.2754,172,156
DTE,copper,Bull-Bear,-0.0197,0.0273,-0.0471,-0.8359,2330,587
DTE,credit_hy_spread,VIX,0.1970,-0.8282,1.0251,9.7443,866,1482
DTE,credit_hy_spread,Rates,0.3321,1.0418,-0.7097,-2.9291,254,250
DTE,credit_hy_spread,Bull-Bear,-0.2381,0.1297,-0.3678,-4.4316,2877,1033
DTE,energy_oil,VIX,0.0355,-0.0310,0.0665,2.3029,826,1408
DTE,energy_oil,Rates,0.0923,-0.0548,0.1471,2.0429,247,247
DTE,energy_oil,Bull-Bear,-0.0248,0.0129,-0.0377,-1.5695,2757,1010
DTE,gold,VIX,0.0242,0.1090,-0.0849,-1.4785,866,1983
DTE,gold,Rates,0.1295,0.0323,0.0972,0.7410,264,264
DTE,gold,Bull-Bear,0.0955,0.0010,0.0944,1.9834,3147,1116
DTE,inflation,VIX,0.3200,-1.0774,1.3975,6.7739,866,1983
DTE,inflation,Rates,-0.4659,0.5095,-0.9754,-2.2980,264,264
DTE,inflation,Bull-Bear,-0.3657,0.2154,-0.5811,-3.3832,3147,1116
DTE,natural_gas,VIX,0.0223,-0.0063,0.0286,1.1199,866,1477
DTE,natural_gas,Rates,0.0422,0.0511,-0.0089,-0.1588,254,250
DTE,natural_gas,Bull-Bear,0.0075,0.0096,-0.0020,-0.0992,2874,1033
DTE,rates,VIX,0.1741,0.8963,-0.7222,-4.6346,866,1983
DTE,rates,Rates,1.4257,0.5185,0.9072,1.4872,264,264
DTE,rates,Bull-Bear,0.4196,0.3253,0.0943,0.7167,3147,1116
DTE,rates_30y,VIX,0.0366,0.4014,-0.3648,-5.0860,866,1983
DTE,rates_30y,Rates,0.4570,-0.1524,0.6094,2.6011,264,264
DTE,rates_30y,Bull-Bear,0.1695,0.1463,0.0231,0.3780,3147,1116
DTE,usd_strength,VIX,0.1752,-0.2435,0.4187,3.2855,866,1501
DTE,usd_strength,Rates,-0.0040,-0.0469,0.0428,0.1564,254,250
DTE,usd_strength,Bull-Bear,-0.1888,0.2201,-0.4089,-3.7191,2880,1037
DTE,volatility,VIX,0.1107,-0.0206,0.1314,11.3150,866,1983
DTE,volatility,Rates,0.1050,0.0889,0.0161,0.6189,264,264
DTE,volatility,Bull-Bear,-0.0208,0.1404,-0.1612,-15.2502,3147,1116
DTE,momentum,VIX,-0.3758,-0.1924,-0.1834,-0.9498,377,1322
DTE,momentum,Rates,-0.1339,0.1639,-0.2979,-0.8259,169,150
DTE,momentum,Bull-Bear,-0.3634,-0.0986,-0.2648,-1.6070,2080,531
DTE,quality,VIX,0.1176,-0.3937,0.5114,0.9973,377,1284
DTE,quality,Rates,-1.9361,0.1184,-2.0545,-2.4201,162,147
DTE,quality,Bull-Bear,-0.1532,0.1502,-0.3034,-0.7858,2023,531
DTE,value,VIX,2.0782,0.9985,1.0797,4.6352,397,1406
DTE,value,Rates,2.5968,1.7265,0.8703,1.9413,171,155
DTE,value,Bull-Bear,1.0288,2.2463,-1.2174,-6.3609,2303,585
DTE,biotech,VIX,-0.4779,-0.0300,-0.4479,-3.9818,377,1284
DTE,biotech,Rates,-0.1517,-0.2962,0.1445,0.6808,162,147
DTE,biotech,Bull-Bear,-0.0671,-0.2672,0.2001,2.5782,2023,531
DTE,defense,VIX,0.3561,-0.1576,0.5137,4.1850,377,1284
DTE,defense,Rates,0.0646,0.1411,-0.0765,-0.2794,162,147
DTE,defense,Bull-Bear,-0.0339,0.1282,-0.1621,-1.6225,2023,531
DTE,growth,VIX,-0.7628,-0.3969,-0.3659,-0.6609,377,1284
DTE,growth,Rates,0.9029,0.3173,0.5857,0.5771,162,147
DTE,growth,Bull-Bear,-1.0816,-0.4152,-0.6664,-1.5539,2023,531
DTE,lithium,VIX,-0.1008,0.0005,-0.1013,-1.1954,377,1284
DTE,lithium,Rates,-0.0455,-0.2590,0.2136,1.3075,162,147
DTE,lithium,Bull-Bear,-0.0509,-0.0773,0.0264,0.3373,2023,531
DTE,semiconductors,VIX,-0.4154,-0.1395,-0.2758,-2.4974,377,1284
DTE,semiconductors,Rates,0.0193,-0.3743,0.3936,1.9633,162,147
DTE,semiconductors,Bull-Bear,-0.2023,-0.2378,0.0355,0.4393,2023,531
DTE,uranium,VIX,-0.1614,-0.0066,-0.1547,-2.0131,377,1284
DTE,uranium,Rates,0.0261,-0.2170,0.2431,2.0726,162,147
DTE,uranium,Bull-Bear,-0.0246,-0.1126,0.0880,1.5071,2023,531
DTE,xl_consumer_defensive,VIX,0.3847,0.5951,-0.2104,-1.2728,377,1284
DTE,xl_consumer_defensive,Rates,0.9650,0.7602,0.2048,0.6571,162,147
DTE,xl_consumer_defensive,Bull-Bear,0.4898,0.4661,0.0237,0.1870,2023,531
DTE,xl_financials,VIX,0.1604,-0.7175,0.8779,3.9025,377,1284
DTE,xl_financials,Rates,-0.8685,-0.1293,-0.7392,-1.6965,162,147
DTE,xl_financials,Bull-Bear,-0.4825,-0.0741,-0.4084,-2.3126,2023,531
DTE,xl_healthcare,VIX,0.0062,0.0812,-0.0750,-0.3883,377,1284
DTE,xl_healthcare,Rates,-0.0292,0.5106,-0.5398,-1.5126,162,147
DTE,xl_healthcare,Bull-Bear,0.0690,0.0593,0.0097,0.0692,2023,531
DTE,xl_industrials,VIX,0.0951,-0.2149,0.3100,1.2528,377,1284
DTE,xl_industrials,Rates,-0.1468,-0.4223,0.2755,0.5085,162,147
DTE,xl_industrials,Bull-Bear,-0.1553,-0.1514,-0.0039,-0.0208,2023,531
DTE,xl_real_estate,VIX,0.7084,0.5350,0.1734,1.2836,361,929
DTE,xl_real_estate,Rates,0.5309,1.1505,-0.6196,-2.6879,139,128
DTE,xl_real_estate,Bull-Bear,0.4368,0.6059,-0.1691,-1.6002,1713,483
DTE,xl_utilities,VIX,0.9817,0.9232,0.0585,0.5480,377,1284
DTE,xl_utilities,Rates,0.8199,1.2671,-0.4472,-2.5085,162,147
DTE,xl_utilities,Bull-Bear,0.8093,0.9468,-0.1375,-1.6692,2023,531
DTE,china_a_shares,VIX,0.0154,0.0070,0.0084,0.0788,361,929
DTE,china_a_shares,Rates,0.1974,0.2418,-0.0444,-0.2055,139,128
DTE,china_a_shares,Bull-Bear,-0.0357,0.0929,-0.1286,-1.7190,1713,483
DTE,china_exposure,VIX,-0.0528,0.0122,-0.0650,-0.7183,361,929
DTE,china_exposure,Rates,0.0002,-0.0160,0.0162,0.0904,139,128
DTE,china_exposure,Bull-Bear,-0.0189,0.0053,-0.0242,-0.3411,1713,483
DTG,market_beta,VIX,0.2467,0.4068,-0.1601,-1.4717,160,255
DTG,market_beta,Rates,0.3875,0.3777,0.0098,0.0819,106,99
DTG,market_beta,Bull-Bear,0.3404,0.2879,0.0525,0.8307,634,261
DTG,copper,VIX,0.0140,0.0122,0.0018,0.0262,160,255
DTG,copper,Rates,-0.0873,0.1360,-0.2233,-1.8072,106,99
DTG,copper,Bull-Bear,0.0191,0.0291,-0.0100,-0.1969,634,261
DTG,credit_hy_spread,VIX,-0.4486,-0.7877,0.3391,1.5804,160,255
DTG,credit_hy_spread,Rates,0.4630,-0.0581,0.5210,1.0632,106,99
DTG,credit_hy_spread,Bull-Bear,-0.7847,-0.6856,-0.0991,-0.6095,634,261
DTG,energy_oil,VIX,-0.0144,-0.0706,0.0562,1.1612,160,255
DTG,energy_oil,Rates,-0.0575,-0.0456,-0.0119,-0.1546,106,99
DTG,energy_oil,Bull-Bear,-0.0413,-0.0375,-0.0038,-0.1117,634,261
DTG,gold,VIX,0.1192,0.1090,0.0102,0.0984,160,255
DTG,gold,Rates,-0.0237,0.0127,-0.0365,-0.2133,106,99
DTG,gold,Bull-Bear,0.1148,0.1393,-0.0245,-0.3111,634,261
DTG,inflation,VIX,-0.3620,-1.3296,0.9676,2.8111,160,255
DTG,inflation,Rates,-0.0195,-0.7676,0.7482,1.3345,106,99
DTG,inflation,Bull-Bear,-1.1278,-0.6187,-0.5091,-2.1235,634,261
DTG,natural_gas,VIX,0.0211,-0.0208,0.0419,1.6047,160,255
DTG,natural_gas,Rates,0.0019,0.0412,-0.0393,-0.9408,106,99
DTG,natural_gas,Bull-Bear,-0.0114,0.0141,-0.0255,-1.2229,634,261
DTG,rates,VIX,0.7089,0.8055,-0.0966,-0.5662,160,255
DTG,rates,Rates,1.1848,0.8542,0.3306,0.5632,106,99
DTG,rates,Bull-Bear,0.8843,0.9309,-0.0466,-0.3685,634,261
DTG,rates_30y,VIX,0.3739,0.3797,-0.0058,-0.0677,160,255
DTG,rates_30y,Rates,0.6311,0.6829,-0.0518,-0.2172,106,99
DTG,rates_30y,Bull-Bear,0.4629,0.4684,-0.0055,-0.0891,634,261
DTG,usd_strength,VIX,-0.1332,-0.2541,0.1209,0.6545,160,255
DTG,usd_strength,Rates,-0.0217,-0.4435,0.4218,1.2634,106,99
DTG,usd_strength,Bull-Bear,-0.2744,-0.3059,0.0315,0.2068,634,261
DTG,volatility,VIX,-0.0184,-0.0025,-0.0158,-0.7204,160,255
DTG,volatility,Rates,-0.0503,-0.0084,-0.0419,-1.2619,106,99
DTG,volatility,Bull-Bear,-0.0159,-0.0187,0.0028,0.1495,634,261
DTG,momentum,VIX,-0.0623,-0.1802,0.1178,0.6494,160,255
DTG,momentum,Rates,-0.2078,-0.6927,0.4848,1.6235,106,99
DTG,momentum,Bull-Bear,-0.1848,-0.0576,-0.1272,-0.9273,634,261
DTG,quality,VIX,-0.2274,-0.4782,0.2508,0.5637,160,255
DTG,quality,Rates,-0.3675,-0.2082,-0.1594,-0.2422,106,99
DTG,quality,Bull-Bear,-0.1783,0.2666,-0.4449,-1.3380,634,261
DTG,value,VIX,-0.3287,0.4978,-0.8265,-3.2554,160,255
DTG,value,Rates,-0.4303,0.2126,-0.6429,-1.4951,106,99
DTG,value,Bull-Bear,0.2746,-0.2247,0.4993,2.5869,634,261
DTG,biotech,VIX,0.0092,0.1144,-0.1052,-0.9745,160,255
DTG,biotech,Rates,0.1618,-0.0296,0.1915,1.0065,106,99
DTG,biotech,Bull-Bear,0.1039,0.0129,0.0911,1.1381,634,261
DTG,defense,VIX,0.0415,-0.0908,0.1323,1.0213,160,255
DTG,defense,Rates,-0.2001,-0.2668,0.0667,0.2912,106,99
DTG,defense,Bull-Bear,-0.0672,-0.0316,-0.0357,-0.3570,634,261
DTG,growth,VIX,-0.5054,0.2048,-0.7102,-1.3598,160,255
DTG,growth,Rates,0.0465,0.3468,-0.3003,-0.3665,106,99
DTG,growth,Bull-Bear,0.3080,-0.0321,0.3401,0.8687,634,261
DTG,lithium,VIX,-0.0575,0.0573,-0.1148,-1.6321,160,255
DTG,lithium,Rates,0.0588,0.0833,-0.0245,-0.1994,106,99
DTG,lithium,Bull-Bear,0.0407,-0.0381,0.0788,1.3549,634,261
DTG,semiconductors,VIX,0.0178,0.0545,-0.0367,-0.3860,160,255
DTG,semiconductors,Rates,0.0001,0.1994,-0.1992,-1.2338,106,99
DTG,semiconductors,Bull-Bear,0.0268,0.0944,-0.0676,-0.9055,634,261
DTG,uranium,VIX,0.0649,0.0180,0.0469,0.8159,160,255
DTG,uranium,Rates,0.1221,-0.0373,0.1594,1.6239,106,99
DTG,uranium,Bull-Bear,0.0302,0.0770,-0.0468,-1.0589,634,261
DTG,xl_consumer_defensive,VIX,-0.0495,-0.2026,0.1531,0.9566,160,255
DTG,xl_consumer_defensive,Rates,-0.3752,-0.3717,-0.0036,-0.0135,106,99
DTG,xl_consumer_defensive,Bull-Bear,-0.1076,-0.1843,0.0767,0.6434,634,261
DTG,xl_financials,VIX,0.2210,-0.1615,0.3826,1.7055,160,255
DTG,xl_financials,Rates,0.1092,0.6864,-0.5772,-1.6292,106,99
DTG,xl_financials,Bull-Bear,-0.0775,0.3356,-0.4131,-2.4624,634,261
DTG,xl_healthcare,VIX,-0.1870,-0.0052,-0.1818,-0.9674,160,255
DTG,xl_healthcare,Rates,-0.1441,-0.5546,0.4105,1.4434,106,99
DTG,xl_healthcare,Bull-Bear,-0.0157,-0.2163,0.2005,1.6063,634,261
DTG,xl_industrials,VIX,0.0062,0.1163,-0.1102,-0.4399,160,255
DTG,xl_industrials,Rates,-0.4794,-0.3262,-0.1532,-0.3854,106,99
DTG,xl_industrials,Bull-Bear,-0.0771,-0.1261,0.0490,0.2541,634,261
DTG,xl_real_estate,VIX,-0.0303,0.1046,-0.1349,-0.9699,160,255
DTG,xl_real_estate,Rates,-0.0238,0.2869,-0.3107,-1.6319,106,99
DTG,xl_real_estate,Bull-Bear,0.0429,0.0154,0.0275,0.2612,634,261
DTG,xl_utilities,VIX,-0.0916,-0.1017,0.0101,0.0796,160,255
DTG,xl_utilities,Rates,-0.0695,-0.1052,0.0357,0.1788,106,99
DTG,xl_utilities,Bull-Bear,-0.1255,-0.1135,-0.0120,-0.1301,634,261
DTG,china_a_shares,VIX,-0.0949,-0.0751,-0.0198,-0.2197,160,255
DTG,china_a_shares,Rates,-0.0569,-0.1409,0.0840,0.5541,106,99
DTG,china_a_shares,Bull-Bear,-0.0937,-0.0619,-0.0318,-0.4438,634,261
DTG,china_exposure,VIX,-0.0036,-0.0864,0.0829,1.3247,160,255
DTG,china_exposure,Rates,0.0420,0.0084,0.0335,0.2938,106,99
DTG,china_exposure,Bull-Bear,-0.0235,0.0075,-0.0310,-0.6288,634,261
DTM,market_beta,VIX,0.8092,0.3630,0.4462,3.0716,164,255
DTM,market_beta,Rates,0.9211,0.7352,0.1859,1.1673,109,101
DTM,market_beta,Bull-Bear,0.6573,0.7513,-0.0940,-1.0415,723,261
DTM,copper,VIX,0.3104,0.0884,0.2220,1.8918,164,255
DTM,copper,Rates,-0.1244,0.4162,-0.5406,-2.9840,109,101
DTM,copper,Bull-Bear,0.0275,0.2004,-0.1730,-2.1350,723,261
DTM,credit_hy_spread,VIX,-0.8581,0.0028,-0.8609,-2.4548,164,255
DTM,credit_hy_spread,Rates,-0.6775,-0.7900,0.1125,0.1523,109,101
DTM,credit_hy_spread,Bull-Bear,-0.1485,-0.9590,0.8105,3.0665,723,261
DTM,energy_oil,VIX,0.1697,0.1459,0.0238,0.3207,164,255
DTM,energy_oil,Rates,0.1401,0.2042,-0.0641,-0.5859,109,101
DTM,energy_oil,Bull-Bear,0.1070,0.0895,0.0176,0.3304,723,261
DTM,gold,VIX,0.3185,0.2971,0.0214,0.1207,164,255
DTM,gold,Rates,-0.1766,0.3525,-0.5291,-2.0942,109,101
DTM,gold,Bull-Bear,0.1923,0.2812,-0.0888,-0.7028,723,261
DTM,inflation,VIX,0.7245,0.0608,0.6637,1.2239,164,255
DTM,inflation,Rates,0.2259,1.2944,-1.0685,-1.2825,109,101
DTM,inflation,Bull-Bear,0.4864,0.2173,0.2690,0.7134,723,261
DTM,natural_gas,VIX,0.0998,0.0670,0.0328,0.7392,164,255
DTM,natural_gas,Rates,0.0910,0.1381,-0.0472,-0.7770,109,101
DTM,natural_gas,Bull-Bear,0.0842,0.0677,0.0165,0.4968,723,261
DTM,rates,VIX,0.6312,0.1647,0.4666,1.5130,164,255
DTM,rates,Rates,2.4081,0.5116,1.8965,2.1449,109,101
DTM,rates,Bull-Bear,0.0415,0.6209,-0.5794,-2.5704,723,261
DTM,rates_30y,VIX,0.3753,0.0649,0.3103,1.9904,164,255
DTM,rates_30y,Rates,0.6785,0.5059,0.1726,0.4565,109,101
DTM,rates_30y,Bull-Bear,0.0171,0.3523,-0.3352,-3.0437,723,261
DTM,usd_strength,VIX,-0.1082,-0.2351,0.1269,0.3816,164,255
DTM,usd_strength,Rates,0.6333,-0.5497,1.1829,2.3746,109,101
DTM,usd_strength,Bull-Bear,-0.2067,-0.1339,-0.0728,-0.2923,723,261
DTM,volatility,VIX,-0.0350,-0.0110,-0.0240,-0.7257,164,255
DTM,volatility,Rates,-0.0723,-0.0148,-0.0575,-1.3006,109,101
DTM,volatility,Bull-Bear,-0.0590,0.0039,-0.0629,-2.0814,723,261
DTM,momentum,VIX,0.6508,-0.0962,0.7470,2.4290,164,255
DTM,momentum,Rates,-0.0894,0.0557,-0.1452,-0.3147,109,101
DTM,momentum,Bull-Bear,0.3079,0.7150,-0.4072,-1.8801,723,261
DTM,quality,VIX,-0.7645,-0.9132,0.1486,0.1961,164,255
DTM,quality,Rates,-0.2010,0.0576,-0.2586,-0.2608,109,101
DTM,quality,Bull-Bear,-0.8258,-0.1828,-0.6430,-1.2138,723,261
DTM,value,VIX,-0.1675,0.5827,-0.7502,-1.6040,164,255
DTM,value,Rates,-0.1015,-0.0185,-0.0829,-0.1280,109,101
DTM,value,Bull-Bear,0.2017,-0.2919,0.4936,1.5769,723,261
DTM,biotech,VIX,-0.3768,0.0035,-0.3803,-2.0678,164,255
DTM,biotech,Rates,-0.2831,-0.2083,-0.0748,-0.2697,109,101
DTM,biotech,Bull-Bear,-0.1842,-0.2698,0.0857,0.6776,723,261
DTM,defense,VIX,0.2262,0.0839,0.1423,0.6387,164,255
DTM,defense,Rates,-0.0561,0.0739,-0.1300,-0.3761,109,101
DTM,defense,Bull-Bear,0.1840,0.1844,-0.0004,-0.0027,723,261
DTM,growth,VIX,-0.9933,-0.0015,-0.9919,-1.1556,164,255
