symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
KWR,74,0.3635,0.3831,0.4356,0.0196,0.0525,0.1206
AOS,74,0.3635,0.3918,0.4661,0.0283,0.0743,0.1594
NPO,74,0.3633,0.4095,0.4899,0.0462,0.0804,0.1642
LSCC,74,0.3630,0.3946,0.5181,0.0315,0.1236,0.2385
RLJ,74,0.3630,0.4086,0.5029,0.0456,0.0943,0.1875
LEG,74,0.3626,0.4133,0.4707,0.0508,0.0574,0.1219
MANH,74,0.3625,0.3903,0.4380,0.0278,0.0477,0.1089
RNST,74,0.3623,0.4394,0.5185,0.0771,0.0791,0.1525
RSG,74,0.3623,0.4016,0.4989,0.0393,0.0973,0.1951
AXTA,74,0.3620,0.3893,0.4350,0.0273,0.0457,0.1050
ABNB,25,0.3620,0.4121,0.4970,0.0501,0.0849,0.1708
BKU,74,0.3618,0.4413,0.5508,0.0795,0.1095,0.1988
YUM,74,0.3616,0.3789,0.4384,0.0174,0.0595,0.1356
TRMK,74,0.3615,0.4455,0.5190,0.0839,0.0735,0.1416
CHDN,74,0.3615,0.3846,0.4338,0.0231,0.0492,0.1135
COLB,74,0.3613,0.4314,0.5145,0.0701,0.0831,0.1616
NWSA,74,0.3612,0.3809,0.4197,0.0198,0.0387,0.0923
RBC,74,0.3611,0.3864,0.4622,0.0252,0.0758,0.1641
AFRM,24,0.3610,0.4286,0.5159,0.0676,0.0873,0.1692
FDX,74,0.3609,0.3774,0.4487,0.0165,0.0713,0.1588
DHI,74,0.3607,0.3722,0.4315,0.0115,0.0594,0.1376
EPD,74,0.3606,0.3889,0.4457,0.0283,0.0568,0.1275
CC,74,0.3605,0.3868,0.4623,0.0263,0.0756,0.1635
CBU,74,0.3603,0.4349,0.5075,0.0746,0.0727,0.1432
NWS,74,0.3603,0.3797,0.4182,0.0194,0.0385,0.0920
FFBC,74,0.3603,0.4393,0.5209,0.0791,0.0816,0.1566
TOST,16,0.3599,0.3915,0.4591,0.0316,0.0676,0.1472
WAT,74,0.3596,0.3697,0.4194,0.0101,0.0497,0.1186
PK,72,0.3596,0.4035,0.5060,0.0439,0.1025,0.2026
TALO,56,0.3595,0.4022,0.4655,0.0427,0.0633,0.1359
SSB,74,0.3595,0.4322,0.5221,0.0727,0.0899,0.1722
STLD,74,0.3588,0.4037,0.4800,0.0449,0.0763,0.1589
MTG,74,0.3586,0.3898,0.4486,0.0312,0.0587,0.1310
SFNC,74,0.3585,0.4389,0.5299,0.0804,0.0910,0.1718
LEVI,46,0.3585,0.3991,0.4550,0.0406,0.0559,0.1228
EXLS,74,0.3584,0.3763,0.4125,0.0179,0.0362,0.0878
HIG,74,0.3582,0.4301,0.4913,0.0719,0.0612,0.1245
FCNCA,74,0.3580,0.4096,0.4881,0.0516,0.0785,0.1609
DAL,74,0.3580,0.4009,0.5024,0.0430,0.1015,0.2020
MLI,74,0.3574,0.3940,0.4457,0.0367,0.0517,0.1159
VAL,20,0.3572,0.3729,0.4386,0.0157,0.0657,0.1499
TJX,74,0.3568,0.3802,0.4359,0.0234,0.0557,0.1278
CMCO,74,0.3567,0.3920,0.4518,0.0354,0.0598,0.1324
PHM,74,0.3564,0.3707,0.4294,0.0144,0.0587,0.1366
WAB,74,0.3562,0.4079,0.4868,0.0516,0.0789,0.1621
BSY,28,0.3562,0.3955,0.4457,0.0393,0.0503,0.1128
AMKR,74,0.3562,0.3802,0.5530,0.0240,0.1728,0.3124
RCL,74,0.3562,0.3896,0.4772,0.0335,0.0875,0.1834
CZR,74,0.3558,0.3814,0.4603,0.0256,0.0789,0.1714
YETI,51,0.3557,0.3769,0.4357,0.0211,0.0588,0.1350
WWD,74,0.3557,0.3921,0.4866,0.0365,0.0945,0.1942
FTNT,74,0.3556,0.4033,0.4362,0.0477,0.0329,0.0755
AFG,74,0.3556,0.4203,0.4689,0.0647,0.0486,0.1036
AON,74,0.3554,0.3664,0.4152,0.0110,0.0488,0.1176
TECH,74,0.3554,0.3914,0.4725,0.0360,0.0811,0.1716
BKR,74,0.3553,0.4000,0.4575,0.0447,0.0576,0.1258
IBM,74,0.3552,0.3887,0.4213,0.0335,0.0327,0.0776
OZK,74,0.3551,0.4167,0.5105,0.0616,0.0938,0.1838
SFBS,74,0.3551,0.4177,0.4847,0.0627,0.0669,0.1381
DRVN,24,0.3549,0.3744,0.4150,0.0195,0.0406,0.0977
CUZ,74,0.3549,0.4038,0.5262,0.0489,0.1224,0.2326
AGCO,74,0.3547,0.3897,0.4841,0.0350,0.0944,0.1950
KW,74,0.3544,0.3974,0.4558,0.0430,0.0584,0.1281
TCBI,74,0.3539,0.4145,0.5090,0.0606,0.0945,0.1856
HOPE,74,0.3534,0.4443,0.5292,0.0909,0.0848,0.1603
APLE,74,0.3530,0.3917,0.4835,0.0386,0.0918,0.1899
EFX,74,0.3530,0.3611,0.4013,0.0082,0.0402,0.1001
KRC,74,0.3529,0.3991,0.5417,0.0461,0.1426,0.2632
FND,69,0.3528,0.3747,0.4365,0.0218,0.0618,0.1416
TMHC,74,0.3525,0.3635,0.4243,0.0110,0.0608,0.1434
ZBH,74,0.3524,0.3700,0.4233,0.0176,0.0533,0.1259
DOCN,22,0.3523,0.4307,0.5093,0.0784,0.0785,0.1542
AROC,74,0.3521,0.3987,0.4815,0.0466,0.0827,0.1719
NOG,74,0.3520,0.3803,0.4390,0.0283,0.0587,0.1338
SITE,74,0.3513,0.3697,0.4286,0.0184,0.0589,0.1374
BRC,74,0.3513,0.3921,0.4311,0.0409,0.0390,0.0905
PVH,74,0.3512,0.3993,0.4585,0.0480,0.0592,0.1291
UPS,74,0.3512,0.3594,0.4255,0.0082,0.0661,0.1554
MSA,74,0.3507,0.3699,0.4090,0.0191,0.0391,0.0957
NGVT,74,0.3507,0.3920,0.4490,0.0413,0.0571,0.1271
LTH,15,0.3505,0.3701,0.4145,0.0196,0.0444,0.1070
ADM,74,0.3504,0.4000,0.4508,0.0495,0.0508,0.1127
AUB,74,0.3504,0.4328,0.5198,0.0824,0.0869,0.1673
HHH,74,0.3503,0.3791,0.4312,0.0287,0.0522,0.1210
HLNE,70,0.3501,0.3645,0.4072,0.0144,0.0427,0.1048
CRUS,74,0.3501,0.3641,0.5046,0.0140,0.1404,0.2783
ZD,74,0.3500,0.3638,0.4016,0.0138,0.0378,0.0942
LEN,74,0.3497,0.3628,0.4289,0.0131,0.0661,0.1540
FNF,74,0.3496,0.3822,0.4280,0.0326,0.0458,0.1070
FAF,74,0.3494,0.3695,0.4140,0.0201,0.0445,0.1075
EEFT,74,0.3494,0.3760,0.4179,0.0266,0.0418,0.1002
PII,74,0.3493,0.3660,0.4260,0.0167,0.0600,0.1408
OLED,74,0.3493,0.3773,0.4777,0.0280,0.1004,0.2102
WABC,74,0.3492,0.4203,0.4915,0.0711,0.0712,0.1449
XPO,74,0.3491,0.3683,0.4155,0.0192,0.0472,0.1136
RHP,74,0.3490,0.3862,0.4709,0.0373,0.0847,0.1799
RYN,74,0.3486,0.3678,0.4275,0.0191,0.0597,0.1396
ORI,74,0.3485,0.4143,0.4525,0.0659,0.0382,0.0844
CSL,74,0.3483,0.3789,0.4313,0.0305,0.0524,0.1215
CNA,74,0.3483,0.4184,0.4676,0.0701,0.0492,0.1053
PAGP,74,0.3481,0.3785,0.4572,0.0304,0.0788,0.1723
EFSC,74,0.3480,0.4285,0.5035,0.0804,0.0750,0.1490
CNMD,74,0.3476,0.3690,0.4173,0.0214,0.0483,0.1158
MLM,74,0.3475,0.3720,0.4354,0.0245,0.0634,0.1455
STWD,74,0.3475,0.3858,0.4526,0.0383,0.0668,0.1476
WDC,74,0.3474,0.3656,0.4897,0.0181,0.1241,0.2535
OMF,74,0.3469,0.3835,0.4641,0.0365,0.0806,0.1737
SYNA,74,0.3468,0.3663,0.4685,0.0195,0.1022,0.2182
CMCSA,74,0.3464,0.3663,0.4141,0.0199,0.0479,0.1156
MORN,74,0.3462,0.3596,0.4031,0.0134,0.0436,0.1081
PEB,74,0.3460,0.3928,0.4836,0.0468,0.0908,0.1877
BXP,74,0.3459,0.4087,0.5660,0.0628,0.1573,0.2779
BMI,74,0.3459,0.3567,0.3970,0.0108,0.0403,0.1016
OII,74,0.3458,0.3846,0.4710,0.0387,0.0865,0.1836
HIW,74,0.3458,0.4007,0.5544,0.0549,0.1537,0.2772
ICHR,73,0.3456,0.3744,0.5532,0.0288,0.1788,0.3231
MDLZ,74,0.3454,0.3784,0.5604,0.0330,0.1820,0.3248
FRME,74,0.3451,0.4320,0.5161,0.0869,0.0841,0.1629
MC,74,0.3450,0.3658,0.4210,0.0208,0.0552,0.1310
MIDD,74,0.3450,0.3712,0.4330,0.0262,0.0618,0.1427
R,74,0.3446,0.3789,0.4495,0.0343,0.0706,0.1571
DRH,74,0.3446,0.3879,0.4908,0.0433,0.1030,0.2098
EW,74,0.3446,0.3625,0.4218,0.0180,0.0593,0.1405
DEI,74,0.3446,0.3887,0.5537,0.0442,0.1649,0.2979
JBGS,66,0.3445,0.3937,0.5198,0.0492,0.1261,0.2425
ATR,74,0.3440,0.3675,0.4098,0.0234,0.0423,0.1033
IDCC,74,0.3439,0.3574,0.4155,0.0135,0.0581,0.1398
VIAV,74,0.3436,0.3542,0.4089,0.0105,0.0547,0.1338
EPRT,55,0.3434,0.3781,0.5193,0.0346,0.1412,0.2719
MMS,74,0.3433,0.3572,0.3895,0.0139,0.0323,0.0830
WM,74,0.3431,0.3876,0.4942,0.0445,0.1067,0.2158
FHB,74,0.3427,0.4307,0.5307,0.0880,0.0999,0.1883
WRBY,16,0.3424,0.3672,0.4403,0.0248,0.0731,0.1661
BLD,74,0.3422,0.3578,0.4097,0.0156,0.0518,0.1266
AIN,74,0.3422,0.3860,0.4713,0.0438,0.0853,0.1810
VFC,74,0.3421,0.3809,0.4232,0.0388,0.0423,0.1000
PKG,74,0.3416,0.3939,0.4435,0.0523,0.0496,0.1118
ROST,74,0.3415,0.3614,0.4243,0.0199,0.0630,0.1484
CCS,74,0.3413,0.3535,0.4128,0.0121,0.0593,0.1436
GLPI,74,0.3407,0.3551,0.4711,0.0145,0.1160,0.2462
FWRD,74,0.3406,0.3781,0.4338,0.0375,0.0557,0.1283
COLM,74,0.3406,0.3555,0.3884,0.0149,0.0329,0.0848
CCK,74,0.3402,0.3530,0.3856,0.0128,0.0326,0.0846
OUT,74,0.3402,0.3648,0.4331,0.0247,0.0683,0.1577
OIS,74,0.3399,0.3816,0.4747,0.0417,0.0931,0.1960
ITGR,74,0.3399,0.3575,0.4104,0.0176,0.0528,0.1288
SOJD,36,0.3399,0.3458,0.3781,0.0059,0.0322,0.0852
F,74,0.3398,0.3748,0.4492,0.0350,0.0743,0.1655
CTBI,74,0.3397,0.4245,0.4888,0.0848,0.0643,0.1315
NE,19,0.3396,0.3568,0.4149,0.0172,0.0581,0.1400
AZTA,74,0.3395,0.3708,0.4997,0.0313,0.1290,0.2580
WSBC,74,0.3390,0.4324,0.5154,0.0934,0.0830,0.1611
RRR,74,0.3390,0.3653,0.4454,0.0263,0.0801,0.1799
PAA,74,0.3389,0.3673,0.4407,0.0284,0.0734,0.1665
SRCE,74,0.3389,0.4243,0.5040,0.0854,0.0797,0.1582
ARMK,74,0.3386,0.3749,0.4389,0.0363,0.0640,0.1458
PEP,74,0.3386,0.3757,0.6068,0.0371,0.2311,0.3809
INVH,71,0.3385,0.3538,0.5399,0.0153,0.1861,0.3446
UDR,74,0.3385,0.3816,0.6391,0.0431,0.2575,0.4029
PR,74,0.3384,0.3692,0.4524,0.0307,0.0832,0.1840
CPF,74,0.3382,0.4112,0.4817,0.0730,0.0704,0.1462
CTVA,44,0.3379,0.3841,0.4309,0.0462,0.0468,0.1087
GWRE,74,0.3379,0.3899,0.4295,0.0520,0.0396,0.0921
LPX,74,0.3378,0.3548,0.4075,0.0170,0.0527,0.1292
ACA,50,0.3378,0.3834,0.4517,0.0456,0.0682,0.1511
GNRC,74,0.3375,0.3691,0.4189,0.0315,0.0498,0.1189
MTW,74,0.3375,0.3822,0.4738,0.0447,0.0916,0.1933
SOJE,28,0.3375,0.3457,0.3864,0.0082,0.0407,0.1053
HPP,74,0.3371,0.3791,0.5226,0.0420,0.1435,0.2746
CSGP,74,0.3371,0.3682,0.4230,0.0311,0.0548,0.1296
WRB,74,0.3370,0.4132,0.4753,0.0763,0.0620,0.1305
MTH,74,0.3367,0.3480,0.4109,0.0113,0.0630,0.1532
SANM,74,0.3365,0.3548,0.4229,0.0184,0.0681,0.1610
FORM,74,0.3364,0.3672,0.5201,0.0308,0.1528,0.2939
AIR,74,0.3363,0.3841,0.4982,0.0478,0.1142,0.2291
MTSI,74,0.3362,0.3717,0.5074,0.0355,0.1357,0.2674
LOGI,74,0.3361,0.3810,0.4301,0.0449,0.0491,0.1142
MMI,74,0.3359,0.3550,0.4055,0.0191,0.0505,0.1246
UFPI,74,0.3358,0.3567,0.4249,0.0210,0.0682,0.1604
MSM,74,0.3355,0.3791,0.4378,0.0437,0.0587,0.1340
BXMT,74,0.3354,0.3634,0.4411,0.0280,0.0778,0.1763
LSTR,74,0.3354,0.3558,0.4188,0.0205,0.0630,0.1504
INDB,74,0.3352,0.4061,0.4684,0.0709,0.0623,0.1330
OBDC,42,0.3351,0.3524,0.4072,0.0173,0.0548,0.1347
NMRK,61,0.3350,0.3681,0.4328,0.0331,0.0647,0.1495
TNC,74,0.3350,0.3776,0.4322,0.0426,0.0546,0.1264
ALL,74,0.3350,0.3858,0.4393,0.0508,0.0536,0.1219
SSD,74,0.3349,0.3530,0.4065,0.0181,0.0536,0.1318
TFX,74,0.3345,0.3493,0.4176,0.0148,0.0684,0.1637
CVBF,74,0.3345,0.4225,0.4975,0.0880,0.0750,0.1507
SON,74,0.3344,0.3980,0.4349,0.0637,0.0369,0.0848
REG,74,0.3342,0.3861,0.5636,0.0519,0.1775,0.3149
ILMN,74,0.3342,0.3627,0.4770,0.0285,0.1143,0.2395
FIBK,74,0.3341,0.4132,0.4945,0.0791,0.0812,0.1642
COIN,21,0.3340,0.3931,0.4722,0.0591,0.0791,0.1675
ANET,74,0.3339,0.3640,0.4026,0.0301,0.0386,0.0960
PGC,74,0.3339,0.4034,0.4815,0.0695,0.0782,0.1623
ATI,74,0.3338,0.3732,0.4649,0.0393,0.0917,0.1973
CBZ,74,0.3338,0.3717,0.4082,0.0378,0.0366,0.0896
BLDR,74,0.3337,0.3531,0.4223,0.0194,0.0692,0.1639
FRSH,16,0.3334,0.3765,0.4495,0.0430,0.0730,0.1624
RRC,74,0.3334,0.3663,0.4341,0.0329,0.0678,0.1562
JBHT,74,0.3331,0.3491,0.4108,0.0160,0.0617,0.1503
TCBK,74,0.3331,0.4141,0.4747,0.0810,0.0606,0.1277
MEI,74,0.3330,0.3660,0.4282,0.0330,0.0622,0.1453
ESAB,10,0.3330,0.3460,0.4262,0.0130,0.0802,0.1882
FRT,74,0.3329,0.3893,0.5721,0.0563,0.1829,0.3196
DT,42,0.3328,0.4153,0.4825,0.0825,0.0673,0.1394
VC,74,0.3327,0.3484,0.4364,0.0157,0.0880,0.2017
BFH,74,0.3326,0.3896,0.4770,0.0570,0.0874,0.1833
NCLH,74,0.3325,0.3663,0.4692,0.0339,0.1029,0.2193
OLN,74,0.3324,0.3741,0.4456,0.0417,0.0715,0.1605
PLXS,74,0.3320,0.3526,0.4372,0.0206,0.0846,0.1935
ALK,74,0.3319,0.3813,0.4665,0.0495,0.0852,0.1826
WSFS,74,0.3318,0.4032,0.4802,0.0714,0.0769,0.1602
HLX,74,0.3317,0.3700,0.4550,0.0383,0.0849,0.1866
THRM,74,0.3317,0.3534,0.4286,0.0218,0.0751,0.1753
RITM,74,0.3316,0.3604,0.4117,0.0288,0.0513,0.1246
AR,74,0.3314,0.3614,0.4182,0.0299,0.0569,0.1360
WHR,74,0.3314,0.3559,0.4141,0.0245,0.0582,0.1405
KN,74,0.3313,0.3448,0.4244,0.0135,0.0796,0.1875
TRV,74,0.3311,0.4103,0.4745,0.0792,0.0642,0.1353
BDN,74,0.3311,0.3868,0.5127,0.0557,0.1259,0.2455
BCPC,74,0.3309,0.3521,0.3911,0.0212,0.0389,0.0996
PATH,21,0.3307,0.3883,0.4804,0.0576,0.0922,0.1919
TRI,74,0.3306,0.3442,0.3830,0.0136,0.0388,0.1014
DELL,74,0.3303,0.3419,0.3980,0.0116,0.0561,0.1410
VMC,74,0.3303,0.3574,0.4135,0.0271,0.0561,0.1356
XHR,74,0.3303,0.3852,0.4753,0.0549,0.0901,0.1895
NBTB,74,0.3301,0.4160,0.4826,0.0859,0.0666,0.1380
LCII,74,0.3300,0.3490,0.4156,0.0191,0.0666,0.1602
MAA,74,0.3298,0.3557,0.6183,0.0259,0.2626,0.4248
KO,74,0.3298,0.3855,0.5686,0.0558,0.1831,0.3219
LXP,74,0.3296,0.3525,0.4936,0.0228,0.1412,0.2860
JKHY,74,0.3295,0.3505,0.3928,0.0209,0.0424,0.1078
BRX,74,0.3295,0.3905,0.5350,0.0611,0.1444,0.2700
NVST,40,0.3294,0.3658,0.4141,0.0364,0.0483,0.1166
CNOB,74,0.3292,0.4160,0.5034,0.0868,0.0874,0.1735
PEBO,74,0.3292,0.4058,0.4696,0.0766,0.0637,0.1357
JBTM,74,0.3289,0.3703,0.4271,0.0415,0.0568,0.1329
PFBC,74,0.3288,0.3979,0.4838,0.0691,0.0859,0.1776
CRSR,28,0.3287,0.3478,0.4263,0.0191,0.0785,0.1841
AVTR,44,0.3285,0.3556,0.4360,0.0271,0.0804,0.1844
QTWO,74,0.3283,0.3859,0.4435,0.0576,0.0576,0.1299
MHO,74,0.3281,0.3435,0.4044,0.0153,0.0609,0.1506
SCL,74,0.3281,0.3665,0.4206,0.0384,0.0541,0.1287
FHN,74,0.3280,0.3936,0.5068,0.0656,0.1132,0.2233
LYV,74,0.3279,0.3571,0.4392,0.0292,0.0821,0.1869
ALGN,74,0.3279,0.3631,0.4327,0.0352,0.0696,0.1608
UNH,74,0.3278,0.3569,0.4993,0.0291,0.1424,0.2851
EQR,74,0.3278,0.3696,0.6229,0.0418,0.2533,0.4066
AVB,74,0.3275,0.3694,0.6260,0.0419,0.2566,0.4099
GRC,74,0.3273,0.3679,0.4270,0.0406,0.0591,0.1384
DCOM,74,0.3272,0.3918,0.4722,0.0646,0.0804,0.1703
CSW,74,0.3272,0.3501,0.3997,0.0229,0.0496,0.1241
FBK,74,0.3272,0.3920,0.4689,0.0648,0.0769,0.1640
ALB,74,0.3272,0.3489,0.5941,0.0217,0.2452,0.4127
CEVA,74,0.3271,0.3645,0.4735,0.0374,0.1091,0.2303
PAG,74,0.3271,0.3712,0.4377,0.0441,0.0666,0.1521
CINF,74,0.3270,0.3927,0.4420,0.0658,0.0492,0.1114
WT,74,0.3268,0.3541,0.4095,0.0273,0.0554,0.1352
SAIA,74,0.3266,0.3448,0.4073,0.0182,0.0625,0.1533
EQIX,74,0.3265,0.3503,0.5488,0.0238,0.1985,0.3616
HOG,74,0.3265,0.3530,0.4079,0.0266,0.0549,0.1345
GWW,74,0.3264,0.3502,0.4241,0.0238,0.0739,0.1743
AWK,74,0.3264,0.3517,0.6325,0.0254,0.2808,0.4439
SITM,38,0.3261,0.3860,0.4769,0.0599,0.0909,0.1906
TOL,74,0.3260,0.3354,0.4077,0.0094,0.0724,0.1775
AMH,74,0.3259,0.3385,0.5264,0.0126,0.1879,0.3570
CCL,74,0.3259,0.3599,0.4527,0.0340,0.0927,0.2048
O,74,0.3259,0.3616,0.6102,0.0357,0.2486,0.4074
FSS,74,0.3259,0.3671,0.4294,0.0412,0.0624,0.1452
NSIT,74,0.3256,0.3396,0.4023,0.0141,0.0627,0.1559
SYY,74,0.3253,0.3664,0.4600,0.0412,0.0936,0.2034
LBRT,60,0.3252,0.3733,0.4554,0.0481,0.0821,0.1803
RL,74,0.3252,0.3682,0.4367,0.0429,0.0686,0.1570
FHI,74,0.3252,0.3664,0.4129,0.0412,0.0465,0.1127
GLOB,74,0.3249,0.3789,0.4205,0.0540,0.0416,0.0990
BME,74,0.3249,0.3368,0.4305,0.0120,0.0937,0.2177
PUMP,70,0.3248,0.3628,0.4494,0.0380,0.0866,0.1928
CENX,74,0.3243,0.3469,0.4168,0.0226,0.0699,0.1677
PDM,74,0.3242,0.3889,0.5376,0.0647,0.1487,0.2766
MCD,74,0.3239,0.3447,0.4228,0.0207,0.0782,0.1849
CLH,74,0.3238,0.3566,0.4076,0.0328,0.0511,0.1252
LVS,74,0.3235,0.3512,0.4639,0.0277,0.1127,0.2430
MCRI,74,0.3232,0.3475,0.4129,0.0244,0.0654,0.1584
TRN,74,0.3231,0.3613,0.4339,0.0382,0.0726,0.1673
RKT,29,0.3229,0.3404,0.3823,0.0174,0.0419,0.1097
VEEV,74,0.3227,0.4155,0.4698,0.0928,0.0543,0.1156
MXL,74,0.3222,0.3529,0.4783,0.0307,0.1254,0.2621
DAR,74,0.3222,0.3519,0.4055,0.0297,0.0536,0.1323
NTRSO,39,0.3217,0.3337,0.3674,0.0120,0.0337,0.0917
KIM,74,0.3216,0.3780,0.5346,0.0564,0.1566,0.2929
COHU,74,0.3216,0.3509,0.5021,0.0293,0.1512,0.3012
WD,74,0.3215,0.3449,0.4023,0.0234,0.0574,0.1426
SPG,74,0.3215,0.3678,0.5367,0.0464,0.1689,0.3146
QCRH,74,0.3214,0.3858,0.4599,0.0645,0.0740,0.1609
BBT,74,0.3212,0.3956,0.4773,0.0744,0.0817,0.1712
EPAC,74,0.3211,0.3559,0.4159,0.0347,0.0600,0.1443
UCTT,74,0.3211,0.3510,0.5336,0.0299,0.1826,0.3422
RFI,74,0.3208,0.3351,0.4471,0.0143,0.1120,0.2505
DASH,25,0.3207,0.4060,0.4944,0.0852,0.0884,0.1789
KNF,2,0.3206,0.3516,0.4423,0.0310,0.0907,0.2051
HLI,74,0.3203,0.3352,0.3852,0.0149,0.0501,0.1299
EXPO,74,0.3200,0.3334,0.3785,0.0134,0.0451,0.1191
TREX,74,0.3198,0.3387,0.3964,0.0189,0.0577,0.1456
STBA,74,0.3198,0.4098,0.4876,0.0900,0.0779,0.1597
CMSD,47,0.3197,0.3355,0.3909,0.0158,0.0554,0.1417
FBRT,15,0.3196,0.3357,0.3895,0.0160,0.0538,0.1381
CHCO,74,0.3196,0.3988,0.4663,0.0792,0.0675,0.1447
SXI,74,0.3194,0.3743,0.4421,0.0549,0.0678,0.1534
VCTR,59,0.3191,0.3357,0.3681,0.0166,0.0324,0.0880
NBHC,74,0.3190,0.3957,0.4743,0.0767,0.0786,0.1657
BBY,74,0.3188,0.3318,0.3768,0.0130,0.0450,0.1195
HFWA,74,0.3188,0.4036,0.4745,0.0848,0.0709,0.1494
GT,74,0.3182,0.3670,0.4394,0.0488,0.0723,0.1646
EBAY,74,0.3181,0.3346,0.3769,0.0165,0.0422,0.1121
INVX,74,0.3181,0.3614,0.4513,0.0434,0.0899,0.1991
COHR,74,0.3180,0.3445,0.4481,0.0265,0.1036,0.2313
PFH,28,0.3180,0.3256,0.3679,0.0076,0.0423,0.1150
MBWM,74,0.3180,0.4026,0.4656,0.0847,0.0629,0.1352
POOL,74,0.3179,0.3411,0.3876,0.0231,0.0465,0.1200
SPSC,74,0.3175,0.3406,0.3729,0.0231,0.0323,0.0867
JOE,74,0.3175,0.3322,0.3853,0.0147,0.0531,0.1379
TPR,74,0.3174,0.3521,0.4306,0.0347,0.0785,0.1822
MOS,74,0.3174,0.3595,0.4399,0.0421,0.0804,0.1828
CRBG,4,0.3172,0.3401,0.4110,0.0228,0.0710,0.1727
SIGI,74,0.3172,0.3665,0.4066,0.0494,0.0400,0.0984
NEE,74,0.3170,0.3327,0.6477,0.0157,0.3150,0.4863
CNXC,26,0.3169,0.3303,0.3691,0.0135,0.0387,0.1050
OCFC,74,0.3167,0.3881,0.4690,0.0714,0.0809,0.1724
GSBC,74,0.3167,0.4038,0.4670,0.0870,0.0632,0.1354
DRI,74,0.3167,0.3426,0.4103,0.0259,0.0677,0.1650
IRT,74,0.3166,0.3436,0.4882,0.0270,0.1446,0.2961
SLG,74,0.3165,0.3747,0.5069,0.0582,0.1321,0.2607
KAI,74,0.3163,0.3415,0.3938,0.0252,0.0523,0.1329
XRX,74,0.3160,0.3513,0.4062,0.0352,0.0550,0.1353
GABC,74,0.3159,0.3890,0.4490,0.0731,0.0600,0.1336
SBSI,74,0.3159,0.3922,0.4674,0.0764,0.0752,0.1609
LBRDK,74,0.3157,0.3269,0.3573,0.0112,0.0304,0.0850
BMBL,23,0.3154,0.3610,0.4264,0.0455,0.0654,0.1534
ATKR,74,0.3150,0.3544,0.4289,0.0393,0.0745,0.1737
FIX,74,0.3149,0.3524,0.3982,0.0375,0.0458,0.1149
TFIN,74,0.3149,0.3541,0.4254,0.0392,0.0713,0.1677
HNI,74,0.3149,0.3715,0.4165,0.0567,0.0450,0.1080
NWBI,74,0.3148,0.4081,0.4757,0.0933,0.0676,0.1421
BNL,28,0.3148,0.3379,0.4643,0.0231,0.1264,0.2723
P,74,0.3148,0.3491,0.4190,0.0343,0.0700,0.1669
USFD,74,0.3146,0.3479,0.4270,0.0332,0.0791,0.1852
CUBI,74,0.3145,0.3696,0.4600,0.0551,0.0903,0.1964
MGR,46,0.3144,0.3230,0.3681,0.0086,0.0451,0.1225
LH,74,0.3144,0.3246,0.4149,0.0102,0.0903,0.2177
IBP,74,0.3143,0.3296,0.3870,0.0153,0.0574,0.1484
HAYW,22,0.3141,0.3445,0.3995,0.0304,0.0551,0.1378
KRG,74,0.3140,0.3802,0.5139,0.0662,0.1337,0.2602
CPT,74,0.3139,0.3444,0.5884,0.0305,0.2439,0.4146
SGI,74,0.3139,0.3276,0.4040,0.0137,0.0763,0.1889
RDN,74,0.3138,0.3451,0.3876,0.0313,0.0425,0.1097
BY,66,0.3138,0.3864,0.4629,0.0727,0.0765,0.1653
SVC,74,0.3135,0.3559,0.4670,0.0424,0.1111,0.2379
WSC,74,0.3135,0.3303,0.3784,0.0168,0.0481,0.1272
AMT,74,0.3134,0.3356,0.6154,0.0222,0.2798,0.4547
PRGS,74,0.3133,0.3251,0.3673,0.0118,0.0422,0.1149
TMP,74,0.3132,0.3828,0.4466,0.0695,0.0638,0.1429
UAL,74,0.3132,0.3563,0.4611,0.0431,0.1048,0.2272
ADNT,74,0.3130,0.3410,0.4238,0.0280,0.0827,0.1953
CGABL,20,0.3129,0.3251,0.3516,0.0122,0.0265,0.0753
KBH,74,0.3126,0.3256,0.3946,0.0130,0.0690,0.1749
CCNE,74,0.3124,0.3754,0.4370,0.0630,0.0616,0.1410
VNO,74,0.3122,0.3731,0.5278,0.0609,0.1547,0.2931
UBER,44,0.3119,0.3459,0.4520,0.0341,0.1061,0.2347
OMC,74,0.3116,0.3770,0.4258,0.0653,0.0489,0.1148
AKAM,74,0.3116,0.3285,0.3730,0.0169,0.0445,0.1194
CRC,27,0.3116,0.3461,0.4041,0.0346,0.0580,0.1434
AIZ,74,0.3114,0.3579,0.4074,0.0466,0.0494,0.1214
CVCO,74,0.3113,0.3262,0.3764,0.0149,0.0502,0.1334
LBRDA,74,0.3111,0.3207,0.3523,0.0096,0.0316,0.0897
U,28,0.3111,0.3983,0.4825,0.0872,0.0842,0.1745
SLM,74,0.3110,0.3412,0.4116,0.0302,0.0704,0.1711
FBNC,74,0.3109,0.3909,0.4752,0.0800,0.0843,0.1774
BANC,74,0.3108,0.3725,0.4611,0.0616,0.0887,0.1923
NXST,74,0.3108,0.3392,0.3930,0.0285,0.0538,0.1368
HBNC,74,0.3107,0.3806,0.4504,0.0699,0.0699,0.1551
ARCC,74,0.3107,0.3315,0.3819,0.0208,0.0504,0.1321
