symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
TLN,2,0.1425,0.2039,0.3309,0.0614,0.1270,0.3837
VLYPP,51,0.1418,0.1455,0.1698,0.0037,0.0243,0.1429
DDT,74,0.1417,0.1480,0.1685,0.0063,0.0205,0.1218
CAPL,74,0.1415,0.1580,0.2057,0.0164,0.0477,0.2319
SSSS,74,0.1413,0.1509,0.1842,0.0095,0.0334,0.1811
LDI,23,0.1413,0.1574,0.2000,0.0161,0.0427,0.2134
FTRE,2,0.1411,0.1746,0.2331,0.0335,0.0585,0.2510
PGEN,74,0.1411,0.1591,0.2933,0.0180,0.1342,0.4577
HWCPZ,31,0.1410,0.1475,0.1919,0.0064,0.0444,0.2314
PRCH,36,0.1409,0.1880,0.2626,0.0471,0.0747,0.2843
PHAT,39,0.1406,0.1595,0.2297,0.0189,0.0702,0.3057
GEN,74,0.1403,0.1492,0.1749,0.0089,0.0257,0.1471
CCRN,74,0.1399,0.1630,0.2012,0.0230,0.0382,0.1898
MRVI,26,0.1398,0.1729,0.2812,0.0331,0.1083,0.3851
XERS,55,0.1397,0.1576,0.2295,0.0179,0.0719,0.3131
HNRG,74,0.1395,0.1576,0.2051,0.0181,0.0475,0.2317
RDW,24,0.1395,0.1755,0.2266,0.0360,0.0511,0.2256
RYTM,63,0.1392,0.1520,0.2548,0.0129,0.1027,0.4033
ASYS,74,0.1391,0.1613,0.2156,0.0222,0.0544,0.2521
ALRS,74,0.1387,0.1658,0.1989,0.0270,0.0331,0.1664
SPIR,26,0.1386,0.1614,0.2095,0.0227,0.0481,0.2296
AMN,74,0.1385,0.1628,0.1923,0.0243,0.0295,0.1535
EZPW,74,0.1382,0.1617,0.1957,0.0234,0.0341,0.1740
CSV,74,0.1380,0.1642,0.1919,0.0261,0.0277,0.1444
LOCO,74,0.1380,0.1553,0.2072,0.0173,0.0519,0.2505
EVER,54,0.1371,0.1677,0.2071,0.0306,0.0394,0.1902
HRL,74,0.1367,0.1732,0.3363,0.0365,0.1630,0.4848
MBINN,22,0.1366,0.1512,0.1679,0.0146,0.0167,0.0996
FUBO,46,0.1362,0.1853,0.2727,0.0490,0.0875,0.3207
LTRX,74,0.1362,0.1462,0.1681,0.0100,0.0219,0.1302
TH,58,0.1359,0.1569,0.2039,0.0210,0.0470,0.2303
BNED,74,0.1359,0.1525,0.1953,0.0166,0.0428,0.2192
GHM,74,0.1357,0.1613,0.1936,0.0256,0.0323,0.1668
CHSCP,74,0.1357,0.1426,0.1723,0.0069,0.0297,0.1724
AVO,27,0.1354,0.1464,0.1898,0.0110,0.0434,0.2287
BHVN,4,0.1352,0.1465,0.2236,0.0113,0.0771,0.3448
LYTS,74,0.1352,0.1498,0.1845,0.0146,0.0347,0.1881
IOVA,74,0.1345,0.1578,0.2494,0.0233,0.0916,0.3673
CLSK,74,0.1345,0.1657,0.2071,0.0312,0.0414,0.1999
TSHA,28,0.1342,0.1530,0.2356,0.0188,0.0826,0.3506
IVT,74,0.1336,0.1396,0.1688,0.0060,0.0292,0.1728
CHSCL,74,0.1335,0.1418,0.1660,0.0083,0.0241,0.1454
KNSA,56,0.1333,0.1502,0.2847,0.0170,0.1345,0.4723
BTBT,58,0.1332,0.1552,0.2099,0.0220,0.0546,0.2603
TME,49,0.1331,0.1807,0.4338,0.0476,0.2531,0.5834
BCML,74,0.1330,0.1750,0.2154,0.0419,0.0404,0.1877
ADV,37,0.1330,0.1541,0.1910,0.0211,0.0369,0.1930
BBCP,65,0.1329,0.1426,0.1726,0.0098,0.0300,0.1735
AAOI,74,0.1326,0.1559,0.2361,0.0233,0.0801,0.3395
AVIR,26,0.1325,0.1539,0.2163,0.0213,0.0625,0.2887
LCTX,74,0.1325,0.1541,0.2211,0.0216,0.0670,0.3029
ODC,74,0.1320,0.1561,0.1820,0.0241,0.0259,0.1423
CBIO,74,0.1317,0.1465,0.2227,0.0148,0.0763,0.3425
TRNS,74,0.1316,0.1521,0.1817,0.0205,0.0296,0.1629
SLMBP,74,0.1314,0.1422,0.1680,0.0108,0.0258,0.1536
CHSCM,74,0.1313,0.1438,0.1710,0.0125,0.0272,0.1591
EWTX,22,0.1311,0.1380,0.2337,0.0068,0.0957,0.4096
SEZL,2,0.1309,0.1519,0.1483,0.0210,-0.0036,-0.0241
VALU,74,0.1309,0.1371,0.1573,0.0062,0.0202,0.1285
TLRY,54,0.1306,0.1478,0.2192,0.0172,0.0714,0.3258
HGTY,20,0.1306,0.1428,0.1753,0.0122,0.0324,0.1852
NRDS,14,0.1303,0.1492,0.2405,0.0188,0.0913,0.3798
AKBA,74,0.1301,0.1486,0.2611,0.0185,0.1126,0.4310
RILYZ,17,0.1300,0.1391,0.1533,0.0091,0.0143,0.0931
COLL,74,0.1299,0.1367,0.2068,0.0068,0.0701,0.3389
MRAM,74,0.1297,0.1519,0.2014,0.0222,0.0495,0.2456
FLO,74,0.1296,0.1709,0.3289,0.0413,0.1580,0.4803
XPER,4,0.1294,0.1696,0.2352,0.0402,0.0656,0.2790
ASTS,38,0.1293,0.1595,0.2124,0.0302,0.0529,0.2492
BKKT,26,0.1292,0.1705,0.2362,0.0413,0.0657,0.2782
ACIC,74,0.1292,0.1586,0.1865,0.0294,0.0279,0.1495
IBRX,74,0.1291,0.1493,0.2575,0.0201,0.1083,0.4203
EOLS,59,0.1289,0.1437,0.2043,0.0148,0.0606,0.2965
GSIT,74,0.1287,0.1388,0.1669,0.0102,0.0281,0.1683
SRTA,38,0.1286,0.1971,0.2886,0.0685,0.0915,0.3169
CYTK,74,0.1285,0.1436,0.2583,0.0151,0.1147,0.4441
AD,74,0.1285,0.1570,0.1874,0.0285,0.0304,0.1621
LUCK,21,0.1285,0.1341,0.1437,0.0057,0.0096,0.0665
KRT,21,0.1285,0.1312,0.1361,0.0028,0.0049,0.0362
FCN,74,0.1280,0.1374,0.1896,0.0094,0.0522,0.2752
VHI,74,0.1277,0.1496,0.1928,0.0219,0.0432,0.2239
JBIO,19,0.1277,0.1373,0.1701,0.0096,0.0328,0.1929
HBANL,2,0.1276,0.1384,0.1839,0.0108,0.0455,0.2473
KVYO,2,0.1276,0.1342,0.1798,0.0066,0.0456,0.2535
ARQT,35,0.1275,0.1590,0.2850,0.0315,0.1260,0.4422
ETON,50,0.1273,0.1488,0.2004,0.0214,0.0516,0.2577
BKSY,37,0.1271,0.1557,0.1976,0.0286,0.0419,0.2120
CHSCN,74,0.1263,0.1380,0.1551,0.0117,0.0171,0.1100
XOMA,74,0.1262,0.1337,0.1933,0.0075,0.0596,0.3083
MGPI,74,0.1262,0.1521,0.1951,0.0259,0.0430,0.2203
INNV,22,0.1261,0.1388,0.1696,0.0127,0.0308,0.1818
CLX,74,0.1260,0.1596,0.3761,0.0336,0.2165,0.5757
RIGL,74,0.1257,0.1430,0.2435,0.0173,0.1005,0.4126
TR,74,0.1257,0.1469,0.2644,0.0211,0.1176,0.4446
TPB,74,0.1257,0.1371,0.1667,0.0114,0.0296,0.1773
CTMX,74,0.1254,0.1417,0.2419,0.0163,0.1002,0.4143
ACAD,74,0.1254,0.1331,0.2441,0.0077,0.1110,0.4548
BCRX,74,0.1251,0.1411,0.2547,0.0159,0.1137,0.4463
CORT,74,0.1249,0.1333,0.2008,0.0084,0.0675,0.3363
IRMD,74,0.1245,0.1321,0.1720,0.0077,0.0398,0.2316
CNOBP,17,0.1244,0.1301,0.1706,0.0057,0.0405,0.2376
NATL,2,0.1242,0.1398,0.2124,0.0156,0.0726,0.3417
AHCO,55,0.1239,0.1313,0.1644,0.0074,0.0331,0.2014
ALTO,74,0.1239,0.1444,0.1910,0.0205,0.0466,0.2439
FDMT,25,0.1238,0.1522,0.2615,0.0284,0.1093,0.4181
RXO,3,0.1237,0.1654,0.2539,0.0417,0.0885,0.3487
CYH,74,0.1236,0.1435,0.2078,0.0200,0.0642,0.3092
FIZZ,74,0.1231,0.1347,0.1820,0.0116,0.0474,0.2601
KODK,74,0.1229,0.1444,0.1975,0.0216,0.0530,0.2686
BBW,74,0.1228,0.1347,0.1805,0.0119,0.0458,0.2539
BKT,74,0.1227,0.1248,0.1452,0.0021,0.0204,0.1406
BJ,54,0.1226,0.1329,0.2258,0.0103,0.0929,0.4113
MIN,74,0.1226,0.1247,0.1435,0.0021,0.0188,0.1310
ARKO,42,0.1226,0.1388,0.1631,0.0162,0.0243,0.1489
QUAD,74,0.1223,0.1513,0.1942,0.0290,0.0429,0.2210
ESPR,74,0.1220,0.1279,0.2442,0.0059,0.1163,0.4764
JBSS,74,0.1219,0.1513,0.2056,0.0293,0.0544,0.2645
RGTI,21,0.1217,0.1385,0.1914,0.0168,0.0529,0.2763
SES,23,0.1217,0.1383,0.1987,0.0166,0.0604,0.3041
REYN,35,0.1216,0.1510,0.2678,0.0293,0.1168,0.4363
GEVO,74,0.1214,0.1495,0.2152,0.0281,0.0657,0.3052
XFLT,63,0.1212,0.1452,0.1638,0.0240,0.0185,0.1132
FLGT,74,0.1209,0.1513,0.2221,0.0304,0.0708,0.3190
TECX,55,0.1209,0.1263,0.2149,0.0054,0.0887,0.4125
ADAMN,63,0.1207,0.1282,0.1565,0.0074,0.0283,0.1809
FVCB,74,0.1205,0.1546,0.1818,0.0341,0.0272,0.1497
CBAN,74,0.1204,0.1465,0.1859,0.0260,0.0395,0.2124
OPFI,26,0.1202,0.1277,0.1876,0.0074,0.0599,0.3195
CLPT,74,0.1202,0.1409,0.1845,0.0207,0.0437,0.2366
UTI,74,0.1201,0.1286,0.1547,0.0085,0.0261,0.1685
