symbol,factor,n_obs,contemp_beta,contemp_t,lead_beta,lead_t,lag_beta,lag_t
AAON,xl_utilities,3109,-0.1573,-3.1419,0.0320,0.6386,-0.0966,-1.9284
AAON,china_a_shares,2564,-0.0108,-0.3102,-0.0089,-0.2541,-0.0405,-1.1598
AAON,china_exposure,2564,-0.0543,-1.4533,-0.0494,-1.3216,-0.0259,-0.6941
AAP,market_beta,5278,0.8461,34.1163,-0.0982,-3.5896,-0.0600,-2.1910
AAP,copper,3547,0.0115,0.5179,0.0183,0.8240,0.0193,0.8700
AAP,credit_hy_spread,4708,-0.1004,-1.7037,0.0666,1.1304,0.1671,2.8360
AAP,energy_oil,4537,-0.0344,-2.0881,0.0205,1.2440,0.0235,1.4288
AAP,gold,5278,-0.0507,-1.7103,0.0271,0.9135,0.0230,0.7746
AAP,inflation,5278,-0.2705,-2.2595,0.1023,0.8541,0.3922,3.2766
AAP,natural_gas,4703,-0.0017,-0.1409,0.0026,0.2182,-0.0146,-1.2401
AAP,rates,5278,0.0910,1.1356,0.0543,0.6777,0.1018,1.2700
AAP,rates_30y,5278,0.0338,0.9034,0.0387,1.0329,0.0279,0.7452
AAP,usd_strength,4736,0.0797,1.1618,-0.1702,-2.4818,-0.2168,-3.1617
AAP,volatility,5278,-0.0053,-0.8250,0.0000,0.0004,0.0105,1.6225
AAP,momentum,3169,-0.2978,-3.4519,-0.0181,-0.2091,0.1078,1.2465
AAP,quality,3109,0.4559,2.0961,0.1080,0.4960,0.2103,0.9660
AAP,value,3507,1.0339,8.4852,-0.0285,-0.2312,0.1091,0.8866
AAP,biotech,3109,0.0183,0.4287,0.0600,1.4042,-0.0219,-0.5139
AAP,defense,3109,-0.0710,-1.1585,0.1874,3.0626,0.0096,0.1568
AAP,growth,3109,-0.0608,-0.2312,-0.1313,-0.4991,-0.2146,-0.8158
AAP,lithium,3109,0.0189,0.5358,0.0255,0.7204,0.0103,0.2923
AAP,semiconductors,3109,-0.0395,-0.8776,-0.0387,-0.8589,-0.1111,-2.4687
AAP,uranium,3109,-0.0475,-1.8441,0.0397,1.5349,0.0111,0.4286
AAP,xl_consumer_defensive,3109,0.1424,1.7856,-0.1132,-1.4193,0.0780,0.9769
AAP,xl_financials,3109,-0.2533,-2.4538,0.0004,0.0037,0.0419,0.4055
AAP,xl_healthcare,3109,-0.1414,-1.7911,0.0613,0.7759,0.0667,0.8444
AAP,xl_industrials,3109,0.1190,1.0861,0.2032,1.8543,0.0667,0.6083
AAP,xl_real_estate,2564,-0.0294,-0.4319,-0.0781,-1.1469,0.1167,1.7139
AAP,xl_utilities,3109,-0.0641,-1.1563,-0.0327,-0.5906,0.0893,1.6120
AAP,china_a_shares,2564,-0.0116,-0.2906,-0.0241,-0.6046,-0.1096,-2.7559
AAP,china_exposure,2564,-0.0270,-0.6348,-0.0676,-1.5886,-0.1066,-2.5069
AAPL,market_beta,5278,1.0742,60.2191,-0.1072,-4.6356,-0.1101,-4.7621
AAPL,copper,3547,-0.0211,-1.3313,0.0065,0.4128,0.0207,1.3092
AAPL,credit_hy_spread,4708,-0.0760,-1.6023,0.0243,0.5124,0.0528,1.1124
AAPL,energy_oil,4537,-0.0273,-2.0776,-0.0062,-0.4691,0.0457,3.4812
AAPL,gold,5278,-0.0461,-1.8383,-0.0003,-0.0133,0.0704,2.8094
AAPL,inflation,5278,-0.2849,-2.8142,-0.0080,-0.0792,0.3230,3.1903
AAPL,natural_gas,4703,-0.0011,-0.1149,-0.0006,-0.0675,-0.0127,-1.3421
AAPL,rates,5278,0.0447,0.6596,-0.0146,-0.2159,0.2770,4.0930
AAPL,rates_30y,5278,0.0395,1.2465,-0.0084,-0.2661,0.0906,2.8628
AAPL,usd_strength,4736,0.1697,3.0721,-0.1668,-3.0194,-0.2793,-5.0653
AAPL,volatility,5278,-0.0086,-1.5733,-0.0139,-2.5419,0.0095,1.7364
AAPL,momentum,3169,-0.0146,-0.2450,0.0106,0.1784,-0.0468,-0.7868
AAPL,quality,3109,-0.0236,-0.1584,0.1760,1.1803,0.5566,3.7389
